,street_one,street_two,lat1,lng1,lat2,lng2
0,MISSION ST,ITALY AVE,37.7392503,-122.4239421,44.6595248,-93.2639347
1,MISSION ST,NEW MONTGOMERY ST,37.7392503,-122.4239421,37.7874561,-122.4005234
2,MISSION ST,01ST ST,37.7392503,-122.4239421,37.7986299,-122.231627
3,MISSION ST,20TH ST,37.7392503,-122.4239421,39.3188612,-94.9504338
4,MISSION ST,FREMONT ST,37.7392503,-122.4239421,36.1612547,-115.1220839
5,MISSION ST,13TH ST,37.7392503,-122.4239421,29.6582444,-82.33808330000001
6,MISSION ST,ERIE ST,37.7392503,-122.4239421,40.7697919,-81.51481360000001
7,MISSION ST,BEALE ST,37.7392503,-122.4239421,35.1389524,-90.045962
8,MISSION ST,FAIR AVE,37.7392503,-122.4239421,34.1830602,-118.3746945
9,MISSION ST,SAINT MARYS AVE,37.7392503,-122.4239421,40.6140827,-74.0724577
10,MISSION ST,SENECA AVE,37.7392503,-122.4239421,40.7028022,-73.9077234
11,MISSION ST,ANTHONY ST,37.7392503,-122.4239421,29.4273335,-98.48954289999999
12,MISSION ST,JESSIE EAST ST,37.7392503,-122.4239421,38.624514,-90.1506465
13,MISSION ST,SILVER AVE,37.7392503,-122.4239421,37.7299073,-122.4133028
14,MISSION ST,MOUNT VERNON AVE,37.7392503,-122.4239421,38.8268631,-77.0587774
15,MISSION ST,30TH ST,37.7392503,-122.4239421,39.9557799,-75.1819683
16,MISSION ST,MAIN ST,37.7392503,-122.4239421,37.2230876,-95.70603559999999
17,MISSION ST,TRUMBULL ST,37.7392503,-122.4239421,41.7682797,-72.67544199999999
18,MISSION ST,15TH ST,37.7392503,-122.4239421,26.103168,-80.1209618
19,MISSION ST,KINGSTON ST,37.7392503,-122.4239421,42.3527201,-71.0594079
20,MISSION ST,TINGLEY ST,37.7392503,-122.4239421,37.7292858,-122.4339673
21,MISSION ST,THERESA ST,37.7392503,-122.4239421,39.0254822,-77.5011122
22,MISSION ST,PARK ST,37.7392503,-122.4239421,36.7523877,-95.94105359999999
23,MISSION ST,OLIVER ST,37.7392503,-122.4239421,40.726049,-74.16966289999999
24,MISSION ST,STEUART ST,37.7392503,-122.4239421,39.2689663,-76.5890391
25,MISSION ST,HURON AVE,37.7392503,-122.4239421,42.3806841,-71.1412809
26,MISSION ST,SYCAMORE ST,37.7392503,-122.4239421,37.6815487,-97.34635779999999
27,MISSION ST,02ND ST,37.7392503,-122.4239421,*,*
28,MISSION ST,MINT ST,37.7392503,-122.4239421,35.2216469,-80.8568028
29,MISSION ST,GENEVA AVE,37.7392503,-122.4239421,42.30376709999999,-71.0718624
30,MISSION ST,CORTLAND AVE,37.7392503,-122.4239421,37.7389074,-122.414881
31,MISSION ST,22ND ST,37.7392503,-122.4239421,33.7242779,-118.2946216
32,MISSION ST,06TH ST,37.7392503,-122.4239421,39.721712,-86.08860899999999
33,MISSION ST,PRECITA AVE,37.7392503,-122.4239421,37.7471942,-122.4134839
34,MISSION ST,17TH ST,37.7392503,-122.4239421,37.7455012,-88.96588179999999
35,MISSION ST,CASTLE MANOR AVE,37.7392503,-122.4239421,37.7295715,-122.4313736
36,MISSION ST,ALLISON ST,37.7392503,-122.4239421,37.71448,-122.44264
37,MISSION ST,26TH ST,37.7392503,-122.4239421,34.0279575,-118.4690956
38,MISSION ST,VIRGINIA AVE,37.7392503,-122.4239421,33.6591899,-84.4352416
39,MISSION ST,COTTER ST,37.7392503,-122.4239421,45.40779,-94.074382
40,MISSION ST,WHIPPLE AVE,37.7392503,-122.4239421,37.4930598,-122.2352972
41,MISSION ST,08TH ST,37.7392503,-122.4239421,38.5822904,-121.4959909
42,MISSION ST,PLUM ST,37.7392503,-122.4239421,29.94729419999999,-90.1280709
43,MISSION ST,THE EMBARCADERO,37.7392503,-122.4239421,37.7992627,-122.3976732
44,MISSION ST,19TH ST,37.7392503,-122.4239421,29.8027803,-95.410146
45,MISSION ST,APPLETON AVE,37.7392503,-122.4239421,43.111535,-88.024669
46,MISSION ST,OCEAN AVE,37.7392503,-122.4239421,29.7245008,-95.3727014
47,MISSION ST,GODEUS ST,37.7392503,-122.4239421,37.7425866,-122.4210872
48,MISSION ST,POPE ST,37.7392503,-122.4239421,42.3394321,-71.3110243
49,MISSION ST,FARRAGUT AVE,37.7392503,-122.4239421,39.0320814,-77.07464829999999
50,MISSION ST,11TH ST,37.7392503,-122.4239421,37.2758557,-107.8802732
51,MISSION ST,EUGENIA AVE,37.7392503,-122.4239421,36.111186,-86.754258
52,MISSION ST,04TH ST,37.7392503,-122.4239421,39.721711,-86.086314
53,MISSION ST,FRANCE AVE,37.7392503,-122.4239421,44.8873255,-93.329068
54,MISSION ST,LASKIE ST,37.7392503,-122.4239421,37.7770093,-122.4144993
55,MISSION ST,29TH ST,37.7392503,-122.4239421,40.4967117,-78.4091596
56,MISSION ST,RUSSIA AVE,37.7392503,-122.4239421,37.7193072,-122.4324059
57,MISSION ST,ONONDAGA AVE,37.7392503,-122.4239421,37.721369,-122.4374624
58,MISSION ST,ANNIE ST,37.7392503,-122.4239421,30.24530609999999,-97.74814289999999
59,MISSION ST,21ST ST,37.7392503,-122.4239421,38.6213479,-90.21302899999999
60,MISSION ST,CLARION ALY,37.7392503,-122.4239421,37.7629688,-122.4210036
61,MISSION ST,NAGLEE AVE,37.7392503,-122.4239421,37.3318383,-121.9268411
62,MISSION ST,ADMIRAL AVE,37.7392503,-122.4239421,33.9843823,-118.4307436
63,MISSION ST,RICHLAND AVE,37.7392503,-122.4239421,34.0288494,-118.4399613
64,MISSION ST,LOWELL ST,37.7392503,-122.4239421,45.52443419999999,-73.5962085
65,MISSION ST,SAN JUAN AVE,37.7392503,-122.4239421,33.4662403,-117.6988028
66,MISSION ST,14TH ST,37.7392503,-122.4239421,38.938678,-77.0327217
67,MISSION ST,CONCORD ST,37.7392503,-122.4239421,42.2896347,-71.4097108
68,MISSION ST,HIGHLAND AVE,37.7392503,-122.4239421,35.7330879,-81.3288939
69,MISSION ST,10TH ST,37.7392503,-122.4239421,44.9504911,-93.0973155
70,MISSION ST,LAWRENCE AVE,37.7392503,-122.4239421,41.9680101,-87.7494432
71,MISSION ST,AMAZON AVE,37.7392503,-122.4239421,39.1585388,-84.5173171
72,MISSION ST,ECKER ST,37.7392503,-122.4239421,37.7896461,-122.3989257
73,MISSION ST,SHAW ALY,37.7392503,-122.4239421,*,*
74,MISSION ST,AVALON AVE,37.7392503,-122.4239421,33.9748581,-118.2646484
75,MISSION ST,FRANCIS ST,37.7392503,-122.4239421,37.6990763,-97.3325172
76,MISSION ST,LAFAYETTE ST,37.7392503,-122.4239421,40.72229249999999,-73.9970929
77,MISSION ST,JESSIE WEST ST,37.7392503,-122.4239421,41.7906272,-87.6322292
78,MISSION ST,COLLEGE AVE,37.7392503,-122.4239421,39.1974171,-96.5990037
79,MISSION ST,03RD ST,37.7392503,-122.4239421,38.579071,-121.504547
80,MISSION ST,HARRINGTON ST,37.7392503,-122.4239421,34.2821098,-81.613147
81,MISSION ST,COLLEGE TER,37.7392503,-122.4239421,*,*
82,MISSION ST,VALENCIA ST,37.7392503,-122.4239421,37.759259,-122.421368
83,MISSION ST,NEY ST,37.7392503,-122.4239421,37.730137,-122.4261116
84,MISSION ST,12TH ST,37.7392503,-122.4239421,34.7408231,-92.318378
85,MISSION ST,25TH ST,37.7392503,-122.4239421,35.24173570000001,-80.8170802
86,MISSION ST,MARY ST,37.7392503,-122.4239421,32.7886476,-79.8803325
87,MISSION ST,SPEAR ST,37.7392503,-122.4239421,37.7908094,-122.3918883
88,MISSION ST,ROLPH ST,37.7392503,-122.4239421,37.71273170000001,-122.4348182
89,MISSION ST,07TH ST,37.7392503,-122.4239421,38.596153,-121.491776
90,MISSION ST,NORTON ST,37.7392503,-122.4239421,43.1873634,-77.58410239999999
91,MISSION ST,RUTH ST,37.7392503,-122.4239421,44.962928,-93.01526199999999
92,MISSION ST,BRAZIL AVE,37.7392503,-122.4239421,37.7216592,-122.428453
93,MISSION ST,GUTTENBERG ST,37.7392503,-122.4239421,37.709946,-122.4430285
94,MISSION ST,23RD ST,37.7392503,-122.4239421,38.9430226,-95.2810662
95,MISSION ST,RANDALL ST,37.7392503,-122.4239421,37.7394323,-122.4243684
96,MISSION ST,PERSIA AVE,37.7392503,-122.4239421,37.7200952,-122.4296339
97,MISSION ST,16TH ST,37.7392503,-122.4239421,39.7478308,-104.9956602
98,MISSION ST,YERBA BUENA LN,37.7392503,-122.4239421,37.7857633,-122.4043158
99,MISSION ST,LAURA ST,37.7392503,-122.4239421,30.3433585,-81.65583219999999
100,MISSION ST,18TH ST,37.7392503,-122.4239421,41.8583642,-87.6180658
101,MISSION ST,LEO ST,37.7392503,-122.4239421,28.335714,-82.257251
102,MISSION ST,POWERS AVE,37.7392503,-122.4239421,30.2550908,-81.61697629999999
103,MISSION ST,SANTA ROSA AVE,37.7392503,-122.4239421,38.40587,-122.7134981
104,MISSION ST,FLORENTINE AVE,37.7392503,-122.4239421,35.9980674,-115.2168386
105,MISSION ST,FOOTE AVE,37.7392503,-122.4239421,42.0825129,-79.2295575
106,MISSION ST,BOSWORTH ST,37.7392503,-122.4239421,37.7336523,-122.4343739
107,MISSION ST,EXCELSIOR AVE,37.7392503,-122.4239421,43.0889021,-73.777902
108,MISSION ST,WASHBURN ST,37.7392503,-122.4239421,42.2448047,-71.8085466
109,MISSION ST,MORSE ST,37.7392503,-122.4239421,33.20712100000001,-97.12137399999999
110,MISSION ST,ANGELOS ALY,37.7392503,-122.4239421,*,*
111,MISSION ST,BROOK ST,37.7392503,-122.4239421,42.7134272,-71.1541731
112,MISSION ST,09TH ST,37.7392503,-122.4239421,39.778703,-86.1531258
113,MISSION ST,OTTAWA AVE,37.7392503,-122.4239421,42.7704472,-86.1270873
114,MISSION ST,NIAGARA AVE,37.7392503,-122.4239421,32.7423978,-117.2458954
115,MISSION ST,ACTON ST,37.7392503,-122.4239421,37.8660099,-122.2837981
116,MISSION ST,05TH ST,37.7392503,-122.4239421,38.5756231,-121.503342
117,MISSION ST,24TH ST,37.7392503,-122.4239421,37.7522505,-122.4184682
118,MISSION ST,GRACE ST,37.7392503,-122.4239421,40.747847,-73.986497
